"Demographic variable [1, 5, 6]",Response,Count,ees [2],mw_p [3],op_p [3],lm_p [3],mt_p [3],ld_p [3],if_p [3],rw_p [3],pb_p [3],lc_p [3],HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
S02,Degree level or above,70829,66.481,79.68,84.143,74.58,85.052,59.823,82.716,74.911,40.013,57.107,26.077,74.699,92.039,84.454,80.951,62.253,78.685,82.269,86.018,77.229,88.119,86.326,70.551,81.94,84.182,71.19,69.388,73.533,43.284,89.13,86.385,79.643,67.322,55.703,61.003,55.232,85.664,89.95,75.254,79.989,73.236,78.425,89.504,74.765,63.35,70.164,40.13,46.057,33.861,74.417,68.975,56.958,61.931,42.638,40.446,70.698,43.377,54.444,70.723,68.048,55.881,59.241,56.796,55.941,39.559,91.653,73.423,73.792,71.754,80.998,60.504,75.842,5.071,12.4,34.619,47.911,91.059,63.52,75.207,8.526,16.852,14.162,12.801,16.935,18.463,0.05,26.299,4.267,1.644,11.058,9.397,2.275,3.586,3.321,0.498,5.28,14.196,17.798,18.396,6.708,7.669,10.906,4.779,25.245,40.616,0.812,38.476,46.946,26.481,36.04,34.988,27.939,2.86,4.152,7.88,9.946,14.984,2.27,40.13,12.122,30.677,26.432,5.079,3.355,1.576,2.187,1.761,1.075,2.984,7.34,44.362,17.221,43.411,59.8,31.399,60.486,68.912,58.515,43.133,71.468,74.146,4.99,79.686
S02,Below degree level,108743,65.71,79.204,85.81,74.78,85.282,60.288,82.926,76.763,39.782,56.342,26.203,74.636,91.499,85.539,81.253,61.631,76.065,84.414,87.205,76.733,88.174,85.005,72.183,81.237,83.907,72.481,69.334,73.514,45.17,89.463,86.75,79.653,70.697,55.129,61.919,53.39,85.255,89.911,73.898,82.623,73.346,80.663,88.695,75.4,67.352,75.1,39.072,46.643,33.653,71.467,67.194,58.874,59.434,43.442,40.259,70.132,42.003,54.288,67.155,64.764,58.327,58.779,55.81,53.409,40.755,91.739,72.769,74.354,73.38,84.112,63.271,74.077,4.84,9.21,25.932,60.018,92.607,71.603,76.583,8.458,15.524,14.063,14.739,9.637,12.351,0.142,21.378,2.409,1.504,13.169,9.517,1.788,2.311,2.322,0.676,4.579,18.118,20.331,20.8,7.108,7.418,9.095,3.579,25.211,38.27,0.646,38.096,43.315,23.646,37.699,35.4,23.894,2.647,4.324,8.188,11.518,15.582,2.448,41.563,9.211,32.202,25.849,5.617,1.423,1.086,1.61,1.872,1.148,2.521,8.362,42.515,16.886,44.374,59.33,31.434,61.444,69.246,59.093,46.294,70.214,70.864,5.073,79.282
S02,No qualifications,37582,65.896,79.694,85.669,74.317,84.909,57.599,82.473,76.167,38.461,55.452,26.171,74.825,91.759,85.675,81.735,62.098,77.178,84.352,86.983,76.42,87.861,84.631,71.602,80.987,83.682,72.23,68.388,72.727,44.557,89.127,86.155,79.454,69.079,53.102,57.982,50.225,84.851,89.628,74.445,80.939,73.506,80.165,88.239,74.841,66.336,73.893,38.005,44.432,32.962,71.441,66.763,57.789,58.401,42.443,38.481,69.672,41.441,52.633,66.944,64.105,59.323,57.86,54.881,53.37,40.838,91.412,71.776,72.302,72.99,82.589,63.537,73.468,5.731,9.964,26.104,58.201,92.358,72.363,75.335,8.954,19.755,12.534,14.026,14.742,13.309,0.09,23.754,3.312,0.865,11.788,9.609,1.432,3.939,2.686,0.507,8.147,16.473,18.95,19.397,6.028,7.754,9.263,2.617,24.036,38.154,0.344,37.225,44.318,23.795,37.466,35.434,24.656,2.445,4.167,7.851,9.986,15.083,2.376,39.201,9.404,31.45,27.73,6.545,1.963,0.93,1.653,1.585,1.068,2.17,7.544,40.738,16.374,44.668,60.172,32.881,60.766,68.659,58.568,46.792,70.78,68.469,5.35,77.348
S02,Not applicable,2384,64.272,73.856,83.305,70.894,80.663,55.857,77.144,76.997,32.634,49.479,28.075,73.929,89.215,80.75,77.806,55.322,66.191,81.158,85.445,72.807,81.676,77.876,69.406,75.378,80.605,69.182,67.074,67.201,47.627,86.026,82.872,73.101,70.727,50.084,55.49,47.18,80.008,85.907,67.482,75.042,73.029,80.748,86.709,75.211,70.097,75.976,30.911,38.478,28.535,63.633,57.66,53.035,49.431,42.227,35.378,63.475,37.437,42.803,61.865,58.712,54.096,55.761,52.331,44.267,33.936,91.394,63.782,66.779,67.101,77.204,56.897,66.428,5.103,7.718,21.173,66.006,86.777,70.283,70.841,7.476,21.023,10.795,17.045,17.045,7.386,0.568,24.432,5.114,1.705,13.068,14.773,1.705,5.114,2.273,0,3.977,14.205,17.045,22.159,10.227,6.628,12.739,2.548,33.121,38.217,1.274,43.312,36.943,19.745,39.49,38.217,22.93,2.548,4.459,5.096,10.828,15.287,0.637,43.59,7.692,37.179,26.282,2.564,1.923,1.923,0.641,3.846,3.846,4.487,9.615,46.497,19.231,41.401,53.797,35.616,62.511,69.375,61.947,47.234,74.494,73.156,5.188,71.236
S02,Other,1244,65.61,76.113,85.169,71.957,82.436,58.802,78.926,76.951,35.385,54.006,27.199,74.579,90.419,84.448,79.822,58.367,67.444,83.427,86.876,75.704,79.791,78.317,71.981,76.768,81.27,72.227,67.831,67.797,47.826,87.52,84.393,75.402,70.418,55.627,58.111,51.088,78.842,87.107,71.486,78.198,72.647,82.22,89.015,73.748,69.992,74.095,35.294,40.499,30.41,66.238,61.736,57.72,55.197,46.222,40.675,68.957,40.792,48.592,65.434,61.353,57.81,58.098,54.706,51.932,40.869,89.3,64.412,70.032,68.548,80.58,60.065,69.187,5.726,7.016,22.097,65.161,87.075,69.983,74.7,7.89,18.367,7.143,14.286,17.347,13.265,0,23.469,6.122,3.061,8.163,9.184,0,2.041,3.061,2.041,4.082,13.265,16.327,21.429,7.143,6.833,13.095,4.762,29.762,33.333,1.19,40.476,44.048,26.19,38.095,34.524,21.429,2.381,3.571,9.524,20.238,21.429,4.762,39.759,10.843,37.349,21.687,6.024,0,3.614,2.41,3.614,2.41,4.819,10.843,44.706,15.294,32.941,51.765,26.316,61.426,68.694,61.714,43.542,73.629,72.5,4.45,74.617
nssec3,Never worked,3924,66.011,76.394,84.62,73.771,83.274,57.796,79.36,73.122,36.791,55.018,27.928,72.414,89.676,81.721,78.201,58.206,74.12,82.87,86.359,76.141,86.881,83.623,71.06,80.082,82.437,71.666,69.537,71.184,45.011,87.127,84.945,77.772,66.055,54.831,58.248,51.977,82.381,86.942,70.35,77.721,70.438,77.123,85.67,73.354,63.367,68.673,35.738,42.464,32.118,71.367,65.008,58.774,57.493,42.478,41.331,68.514,39.531,50.549,67.338,65.935,57.869,58.821,56.567,51.02,38.23,89.268,69.066,72.653,69.541,79.832,64.37,71.834,7.123,11.003,25.428,56.446,91.362,68.485,72.13,13.612,15.254,14.124,20.716,19.962,14.313,0.188,22.976,5.838,1.695,17.137,7.345,1.318,6.215,2.825,0.753,11.864,18.267,16.949,20.339,5.085,11.168,11.213,2.288,31.121,41.876,1.144,43.249,48.97,28.604,47.597,45.538,29.748,4.805,6.407,11.213,17.849,16.018,1.373,45.642,11.468,36.239,28.211,4.358,1.147,0.459,1.376,1.376,0.229,2.752,6.193,40,14.617,47.936,64.679,38.506,53.17,60.737,50.461,40.645,61.999,60.74,8.942,74.611
nssec3,Routine,66673,65.249,78.686,85.725,74.099,84.891,58.751,82.234,76.713,38.148,54.922,26.492,74.648,91.342,85.774,81.279,60.438,74.573,84.331,87.116,76.042,87.447,83.871,72.006,80.397,83.369,72.218,68.488,72.43,44.667,89.341,86.264,79.087,70.609,53.671,59.767,50.956,84.569,89.637,73.25,81.464,73.082,80.889,88.137,75.062,67.585,75.505,37.311,44.729,32.413,69.877,65.75,58.057,57.419,42.748,38.544,69.11,40.693,52.107,65.479,62.96,58.338,57.742,54.737,51.942,40.186,91.544,71.224,72.909,72.665,83.357,63.634,72.925,5.314,8.922,24.007,61.757,92.871,73.763,76.025,8.585,16.381,13.297,14.594,10.985,11.352,0.123,21.899,2.575,1.121,12.807,10.494,1.367,2.803,2.26,0.473,5.764,18.851,19.849,20.217,6.868,7.314,8.714,2.528,24.127,37.711,0.514,36.621,42.931,22.565,37.259,34.669,22.483,2.199,3.905,7.604,10.337,15.372,2.61,40.528,8.699,30.53,26.366,5.854,1.464,1.113,1.381,2.041,0.928,2.577,8.452,41.83,16.13,43.856,59.593,31.571,61.243,69.236,58.927,46.899,70.28,69.112,5.146,78.163
nssec3,Intermediate,25732,66.438,79.524,85.509,75.316,85.534,60.93,83.456,76.511,40.684,57.614,25.941,74.723,91.465,85.232,81.409,61.929,77.55,84.105,86.908,77.639,88.833,85.887,72.082,81.849,84.668,72.873,70.135,74.48,44.715,89.564,86.887,80.156,70.207,55.833,63.036,54.635,85.9,90.098,74.99,82.806,73.875,80.382,88.782,75.656,66.43,73.947,39.97,47.318,34.789,73.621,68.677,59.424,61.044,44.869,41.273,71.224,42.966,55.378,69.241,67.012,58.029,60.098,57.077,54.882,41.089,92.169,73.863,75.36,72.875,84.002,63.291,75.515,5.07,9.767,28.145,57.018,91.783,68.492,76.456,8.757,17.527,14.546,14.146,12.811,15.436,0.044,24.066,2.758,1.157,13.345,9.075,2.358,3.158,3.336,0.89,6.228,17.349,20.507,18.194,6.584,7.739,10.837,4.536,24.042,40.927,0.504,38.609,44.808,24.143,37.702,35.232,24.143,2.974,4.335,8.115,11.996,13.458,1.915,40.121,10.258,32.087,26.579,6.468,2.274,1.364,1.87,1.92,1.112,2.274,8.034,43.778,18.362,45.8,58.283,31.719,61.241,69.289,59.462,45.618,70.321,70.883,5.187,79.64
nssec3,High,108295,66.161,80.187,85.029,74.879,85.501,60.004,83.357,75.861,40.556,57.158,25.833,74.875,92.171,85.325,81.552,63.059,78.804,83.385,86.672,77.13,88.644,86.365,71.269,82.041,84.362,71.784,69.187,73.99,43.954,89.501,86.873,80.138,68.85,55.247,61.526,54.368,86.103,90.248,75.361,81.704,73.5,79.359,89.528,75.018,65.212,72.52,40.415,47.104,34.168,73.635,68.955,58.007,61.404,42.566,40.312,71.007,43.255,55.234,69.302,66.664,57.249,58.855,56.176,55.656,40.467,91.784,74.12,74.374,73.497,82.863,61.7,75.722,4.829,11.047,31.193,52.931,92.201,67.353,76.599,8.028,16.684,13.43,13.211,11.988,16.28,0.081,23.872,3.15,1.673,11.238,9.392,2.008,2.308,2.931,0.6,4.684,15.634,18.622,19.603,7.084,7.256,9.742,4.374,24.93,39.429,0.663,38.294,45.384,26.09,35.437,35.055,26.715,2.576,4.017,8.021,10.15,14.907,2.334,40.29,11.056,31.63,26.403,5.342,2.511,1.473,2.114,1.845,1.204,2.754,7.392,43.091,16.919,43.969,59.567,30.719,61.363,69.486,59.091,44.89,71.318,73.299,4.791,80.084
S07,Lower SEB,67898,65.041,77.786,84.46,73.453,83.716,57.911,80.26,74.342,36.435,54.358,27.339,73.567,90.747,84.232,79.761,59.562,74.616,82.859,86.059,75.706,86.805,83.735,70.754,79.857,82.536,71.446,68.177,71.047,44.41,87.97,85.115,78.083,67.594,53.962,58.429,51.648,82.719,88.012,71.618,78.663,71.169,78.799,87.421,73.357,64.162,71.128,36.042,42.115,31.161,70.166,65.214,56.654,57.173,41.716,38.978,68.153,40.132,51.036,66.01,63.447,57.762,57.07,54.324,51.164,39.108,90.264,69.826,71.283,71.089,80.558,63.075,72.036,6.388,10.688,26.507,56.418,92.029,70.359,72.073,11.049,18.189,13.99,15.915,16.531,14.07,0.147,24.208,3.745,1.498,14.043,10.231,1.471,4.173,2.742,0.776,8.733,17.28,19.005,19.607,6.38,9.223,11.558,3.17,26.845,39.027,0.736,38.851,45.846,25.916,41.22,38.29,26.717,3.298,4.786,9.188,12.278,15.623,2.353,41.005,10.496,32.916,27.797,5.617,1.958,1.172,1.621,1.926,1.156,2.632,7.719,41.091,14.881,42.31,62.678,35.51,57.065,64.818,54.883,43.624,66.721,65.689,6.783,75.802
S07,Not lower SEB,136702,66.522,80.607,85.938,75.278,85.978,60.75,84.375,77.395,41.593,57.737,25.412,75.516,92.427,86.023,82.411,63.413,78.73,84.431,87.444,77.278,88.864,86.309,72.081,82.17,84.791,72.429,69.544,74.669,44.586,90.081,87.291,80.565,70.849,55.349,62.543,54.245,86.991,91.078,76.229,83.189,74.844,80.753,89.896,76.295,67.452,75.101,41.174,48.423,35.197,73.7,69.294,59.2,61.615,43.92,40.58,71.704,43.637,55.955,69.547,66.858,58.115,59.727,56.848,55.926,41.256,92.527,74.684,75.345,74.423,84.426,62.376,75.972,4.492,9.999,29.235,56.274,92.323,69.279,78.094,7.328,15.633,13.211,12.52,9.938,14.502,0.07,22.398,2.732,1.411,10.719,8.837,2.122,2.082,2.552,0.49,3.293,16.083,19.175,20.206,7.046,6.68,8.211,3.897,23.677,38.957,0.604,37.717,43.941,23.688,33.996,33.403,24.16,2.184,3.699,7.047,9.572,15.192,2.349,40.331,9.796,30.953,25.3,5.763,2.38,1.267,1.862,1.774,1.124,2.634,7.802,44.222,18.53,45.638,58.096,28.885,63.74,71.922,61.461,47.268,73.205,74.454,4.153,81.089
